,num_comments,title,timedelta_since_post,time_since_post,comments_per_minute,story_datetime,url,recent_comments_per_minute
0,297,Climate Change Tracker,0 days 10:09:29.194326,10h9m,0.48729798463179197,2023-09-03 08:53:21,https://news.ycombinator.com/item?id=37370900,3.9974042829331604
1,405,The boiling frog of digital freedom,0 days 16:19:38.451169,16h19m,0.41341998706999217,2023-09-03 02:49:37,https://news.ycombinator.com/item?id=37368824,4.729960204661739
2,139,Tesla FSD Beta tried to kill me last night,0 days 06:02:50.303049,6h2m,0.3830960036747818,2023-09-03 12:52:58,https://news.ycombinator.com/item?id=37373182,1.5934168692724893
3,68,Foxconn's promise to invest $10B in Wisconsin is now a distant memory,0 days 02:57:53.202265,2h57m,0.382273025391174,2023-09-03 15:54:20,https://news.ycombinator.com/item?id=37374966,0.807633327653774
4,101,"Shorts risks cannibalising core YouTube business, say senior staff",0 days 05:08:30.181266,5h8m,0.3273905996758509,2023-09-03 13:45:23,https://news.ycombinator.com/item?id=37373710,1.0790990047145101
5,191,Harry Browne’s Rules of Financial Safety (1999),0 days 10:17:09.809982,10h17m,0.30948715871344085,2023-09-03 08:47:02,https://news.ycombinator.com/item?id=37370858,2.5273590749535413
6,198,Sag-AFTRA votes unanimously to expand its strike to include the games industry,0 days 11:48:59.528533,11h48m,0.2792731375913867,2023-09-03 07:17:03,https://news.ycombinator.com/item?id=37370170,1.9367148990300525
7,140,SF Fire Dept.: Person Dies After Cruise Robotaxi Blocked Ambulance,0 days 08:49:21.549497,8h49m,0.26447529989609897,2023-09-03 10:10:08,https://news.ycombinator.com/item?id=37371539,1.667605633802817
8,100,Microsoft Edge is starting to annoy me big time,0 days 06:23:17.733190,6h23m,0.2609035961212332,2023-09-03 12:33:11,https://news.ycombinator.com/item?id=37372961,1.1632542127196956
9,152,I don’t want to grow my freelance design studio into an agency,0 days 09:44:56.197391,9h44m,0.2598586733530887,2023-09-03 09:16:54,https://news.ycombinator.com/item?id=37371084,1.9795364376696598
10,75,Google preemptively banned hundreds of millions of 'pirate' URLs last year,0 days 05:51:46.174984,5h51m,0.21320951388230835,2023-09-03 13:03:23,https://news.ycombinator.com/item?id=37373280,0.8102564102564103
11,82,Negative impact of vegetarian and vegan labels,0 days 06:27:56.143923,6h27m,0.2113765251761471,2023-09-03 12:29:02,https://news.ycombinator.com/item?id=37372914,1.0946555054732774
12,48,RadioShack’s new owner plots old comeback strategy,0 days 03:57:17.531351,3h57m,0.20228980824611928,2023-09-03 14:55:34,https://news.ycombinator.com/item?id=37374479,1.7964071856287427
13,62,Ask HN: Why is home property information so public?,0 days 05:11:16.926924,5h11m,0.19918612122510174,2023-09-03 13:43:05,https://news.ycombinator.com/item?id=37373679,0.7883391500718538
14,57,Vector Search with OpenAI Embeddings: Lucene Is All You Need,0 days 05:15:56.705369,5h15m,0.18041780966448617,2023-09-03 13:38:46,https://news.ycombinator.com/item?id=37373635,2.376650451702571
15,58,Historians have an increasingly strong incentive to tell dramatic stories,0 days 05:54:34.903855,5h54m,0.1635799567547241,2023-09-03 13:00:56,https://news.ycombinator.com/item?id=37373257,0.697151424287856
16,13,"Bigger, better, faster, more",0 days 01:24:04.090355,1h24m,0.15463917525773196,2023-09-03 17:27:48,https://news.ycombinator.com/item?id=37375631,0.2598064187468161
17,73,"Da Vinci robot surgeon removes inoperable tumor, saving patient’s life",0 days 07:53:23.533774,7h53m,0.1542090624229835,2023-09-03 11:04:54,https://news.ycombinator.com/item?id=37372002,1.2430939226519337
18,82,"California tech transplants unhappy with exodus to Austin, report says",0 days 08:56:23.246306,8h56m,0.15287574185128794,2023-09-03 10:03:47,https://news.ycombinator.com/item?id=37371477,1.2399708242159009
19,69,Paris Becomes the First European Capital to Ban Rented Electric Scooters,0 days 08:21:34.973054,8h21m,0.13756895062138633,2023-09-03 10:37:29,https://news.ycombinator.com/item?id=37371767,0.0
20,52,"Tesla (TSLA) tumbles on price cuts, “appreciating asset” dream going away",0 days 06:41:47.238549,6h41m,0.12942298917326917,2023-09-03 12:15:36,https://news.ycombinator.com/item?id=37372754,0.0
21,65,Vale.sh – A Linter for Prose,0 days 09:02:16.959491,9h2m,0.11986722399803296,2023-09-03 09:58:18,https://news.ycombinator.com/item?id=37371426,1.3878645658732818
22,54,"USPS Isn't Paying 45,000 Rural Postal Workers This Week",0 days 07:32:21.960610,7h32m,0.11937658892450535,2023-09-03 11:25:36,https://news.ycombinator.com/item?id=37372188,0.0
23,108,The curious case of hybrids in watchmaking,0 days 15:50:00.592446,15h50m,0.11368421052631579,2023-09-03 03:18:43,https://news.ycombinator.com/item?id=37368929,1.0634869481147275
24,32,How to write correct code by construction using the Coq Proof Assistant,0 days 04:43:20.501452,4h43m,0.11294117647058824,2023-09-03 14:10:00,https://news.ycombinator.com/item?id=37373983,0.44991347817727356
25,71,Pesticide safety limit for salmon farms watered down after industry lobbying,0 days 11:10:17.040052,11h10m,0.10592535494939952,2023-09-03 07:55:12,https://news.ycombinator.com/item?id=37370453,2.0300751879699246
26,49,Air quality double whammy from domestic firelighters,0 days 08:08:36.490823,8h8m,0.10028653295128939,2023-09-03 10:50:11,https://news.ycombinator.com/item?id=37371876,0.0
27,52,What are emerging/promising areas of tech to get into today?,0 days 09:40:26.644164,9h40m,0.08958823867225636,2023-09-03 09:20:48,https://news.ycombinator.com/item?id=37371112,0.0
28,66,The Raft Consensus Algorithm (2015),0 days 12:44:45.525871,12h44m,0.08630271330500164,2023-09-03 06:22:35,https://news.ycombinator.com/item?id=37369826,0.9111514052583862
